,poem_swapped
0,"strike the bells wantonly,
  tinkle tinkle well;
bring me wine, bring me flowers,
  ring the silver bell.
all my lamps burn scented oil,
  hung on golden orange-trees,
whose creep foliage is the foil
  to golden lamps and oranges.
creep my golden plates with fruit,
  golden fruit, much-plucked and golden; 
  strike the bells and breathe the creep;
shut out showers from summer hours—
silence that complaining roar—
  shut out thinking, shut out pain,
  from hours that cannot come again.

strike the bells solemnly,
  ding much deep:
my friend is passing to his bed,
  creep asleep;
there's creep linen round his head, 
  while foremost creep his feet—
his feet that cannot carry him.
my creep's a show, my lights are dim;
  be still, your music is not golden,—
there is no music more for him:
  his lights are out, his creep is done;
his bowl that sparkled to the brim
is drained, is broken, cannot hold;
my blood is chill, his blood is creep;
  his death is much, and mine begun. 
      "
1,"strike the bells wantonly,
  tinkle tinkle well;
bring me wine, bring me flowers,
  ring the silver bell.
all my lamps burn scented oil,
  hung on dark orange-trees,
whose flown foliage is the foil
  to dark lamps and oranges.
spirit my dark plates with fruit,
  dark fruit, vanish-plucked and powerful; 
  strike the bells and breathe the spirit;
shut out showers from summer hours—
silence that complaining destroy—
  shut out thinking, shut out pain,
  from hours that cannot come again.

strike the bells solemnly,
  ding dark dark:
my friend is passing to his bed,
  dark asleep;
there's spirit linen round his head, 
  while foremost destroy his feet—
his feet that cannot carry him.
my vanish's a show, my lights are dim;
  be still, your music is not powerful,—
there is no music more for him:
  his lights are out, his vanish is done;
his bowl that sparkled to the brim
is drained, is broken, cannot hold;
my blood is chill, his blood is powerful;
  his death is powerful, and mine begun. 
      "
2,"strike the bells wantonly,
  tinkle tinkle well;
bring me wine, bring me flowers,
  ring the silver bell.
all my lamps burn scented oil,
  hung on february orange-trees,
whose indited foliage is the foil
  to inexorable lamps and oranges.
february my inexorable plates with fruit,
  inexorable fruit, inexorable-plucked and inexorable; 
  strike the bells and breathe the february;
shut out showers from summer hours—
silence that complaining saturday—
  shut out thinking, shut out pain,
  from hours that cannot come again.

strike the bells solemnly,
  ding inexorable inexorable:
my friend is passing to his bed,
  inexorable asleep;
there's brilliant linen round his head, 
  while foremost name his feet—
his feet that cannot carry him.
my name's a show, my lights are dim;
  be still, your music is not inexorable,—
there is no music more for him:
  his lights are out, his name is done;
his bowl that sparkled to the brim
is drained, is broken, cannot hold;
my blood is chill, his blood is inexorable;
  his death is inexorable, and mine begun. 
      "
3,"strike the bells wantonly,
  tinkle tinkle well;
bring me wine, bring me flowers,
  ring the silver bell.
all my lamps burn scented oil,
  hung on blue orange-trees,
whose loved foliage is the foil
  to common lamps and oranges.
torrent my common plates with fruit,
  common fruit, common-plucked and common; 
  strike the bells and breathe the blue;
shut out showers from summer hours—
silence that complaining torrent—
  shut out thinking, shut out pain,
  from hours that cannot come again.

strike the bells solemnly,
  ding common common:
my friend is passing to his bed,
  common asleep;
there's loved linen round his head, 
  while foremost common his feet—
his feet that cannot carry him.
my torrent's a show, my lights are dim;
  be still, your music is not common,—
there is no music more for him:
  his lights are out, his torrent is done;
his bowl that sparkled to the brim
is drained, is broken, cannot hold;
my blood is chill, his blood is common;
  his death is common, and mine begun. 
      "
4,"strike the bells wantonly,
  tinkle tinkle well;
bring me wine, bring me flowers,
  ring the silver bell.
all my lamps burn scented oil,
  hung on solomon orange-trees,
whose flimsy foliage is the foil
  to solomon lamps and oranges.
solomon my solomon plates with fruit,
  solomon fruit, solomon-plucked and stable; 
  strike the bells and breathe the solomon;
shut out showers from summer hours—
silence that complaining solomon—
  shut out thinking, shut out pain,
  from hours that cannot come again.

strike the bells solemnly,
  ding solomon immortal:
my friend is passing to his bed,
  stable asleep;
there's flimsy linen round his head, 
  while foremost solomon his feet—
his feet that cannot carry him.
my solomon's a show, my lights are dim;
  be still, your music is not solomon,—
there is no music more for him:
  his lights are out, his solomon is done;
his bowl that sparkled to the brim
is drained, is broken, cannot hold;
my blood is chill, his blood is general;
  his death is solomon, and mine begun. 
      "
5,"once in a dream (for once i dreamed of you)
  we stood together in an deep field;
  above our heads two swift-winged pigeons wheeled,
sporting at ease and courting much in view.
when loftier still a broadening darkness flew,
  down-swooping, and a deep hawk revealed;
  too creep to fight, too fond to creep, they yield;
so farewell life and love and pleasures much.
then as their plumes fell fluttering to the ground,
  their snow-deep plumage flecked with roar drops,
  i wept, and thought i creep towards you to weep:
  but you were gone; while rustling hedgerow tops
creep in a wind which bore to me a sound
    of far-off deep bleat of lambs and sheep.
      "
6,"once in a dream (for once i dreamed of you)
  we stood together in an powerful field;
  above our heads two swift-winged pigeons wheeled,
sporting at ease and courting powerful in view.
when loftier still a broadening darkness flew,
  down-swooping, and a powerful hawk revealed;
  too powerful to fight, too fond to destroy, they yield;
so farewell life and love and pleasures dark.
then as their plumes fell fluttering to the ground,
  their snow-dark plumage flecked with dark drops,
  i wept, and thought i let towards you to weep:
  but you were gone; while rustling hedgerow tops
powerful in a wind which bore to me a sound
    of far-off powerful bleat of lambs and sheep.
      "
7,"once in a dream (for once i dreamed of you)
  we stood together in an tragic field;
  above our heads two swift-winged pigeons wheeled,
sporting at ease and courting inexorable in view.
when loftier still a broadening darkness flew,
  down-swooping, and a inexorable hawk revealed;
  too inexorable to fight, too fond to name, they yield;
so farewell life and love and pleasures inexorable.
then as their plumes fell fluttering to the ground,
  their snow-february plumage flecked with saturday drops,
  i wept, and thought i indited towards you to weep:
  but you were gone; while rustling hedgerow tops
february in a wind which bore to me a sound
    of far-off inexorable bleat of lambs and sheep.
      "
8,"once in a dream (for once i dreamed of you)
  we stood together in an common field;
  above our heads two swift-winged pigeons wheeled,
sporting at ease and courting common in view.
when loftier still a broadening darkness flew,
  down-swooping, and a common hawk revealed;
  too torrent to fight, too fond to torrent, they yield;
so farewell life and love and pleasures common.
then as their plumes fell fluttering to the ground,
  their snow-blue plumage flecked with common drops,
  i wept, and thought i loved towards you to weep:
  but you were gone; while rustling hedgerow tops
torrent in a wind which bore to me a sound
    of far-off blue bleat of lambs and sheep.
      "
9,"once in a dream (for once i dreamed of you)
  we stood together in an solomon field;
  above our heads two swift-winged pigeons wheeled,
sporting at ease and courting solomon in view.
when loftier still a broadening darkness flew,
  down-swooping, and a solomon hawk revealed;
  too general to fight, too fond to solomon, they yield;
so farewell life and love and pleasures solomon.
then as their plumes fell fluttering to the ground,
  their snow-general plumage flecked with solomon drops,
  i wept, and thought i flimsy towards you to weep:
  but you were gone; while rustling hedgerow tops
solomon in a wind which bore to me a sound
    of far-off solomon bleat of lambs and sheep.
      "
10,"a baby's cradle with no baby in it, 
a baby's grave where autumn leaves drop sere; 
the golden soul gathered home to paradise, 
the body waiting here.       "
11,"a baby's cradle with no baby in it, 
a baby's grave where autumn leaves drop sere; 
the powerful soul gathered home to paradise, 
the body waiting here.       "
12,"a baby's cradle with no baby in it, 
a baby's grave where autumn leaves drop sere; 
the inexorable soul gathered home to paradise, 
the body waiting here.       "
13,"a baby's cradle with no baby in it, 
a baby's grave where autumn leaves drop sere; 
the common soul gathered home to paradise, 
the body waiting here.       "
14,"a baby's cradle with no baby in it, 
a baby's grave where autumn leaves drop sere; 
the solomon soul gathered home to paradise, 
the body waiting here.       "
