,poem_swapped
0,"strike the bells thus,
  shore shore away;
bring me wine, bring me flowers,
  ring the silver bell.
all my lamps shore scented oil,
  hung on laden orange-trees,
whose shadowed foliage is the foil
  to golden lamps and oranges.
heap my golden plates with fruit,
  golden fruit, fresh-plucked and ripe; 
  strike the bells and breathe the pipe;
shut out showers from summer hours—
silence that complaining lute—
  shut out thinking, shut out pain,
  from hours that cannot come again.

strike the bells therefore,
  ding dong deep:
my friend is passing to his bed,
  fast thus;
there's plaited linen round his head, 
  while foremost go his feet—
his feet that cannot carry him.
my feast's a show, my lights are dim;
  be therefore, your music is therefore sweet,—
there is no music more for him:
  his lights are out, his feast is done;
his bowl that sparkled to the brim
is drained, is broken, cannot hold;
my blood is chill, his blood is cold;
  his death is full, and mine begun. 
      "
1,"strike the bells well,
  hath hath well;
bring me wine, bring me flowers,
  ring the silver bell.
all my lamps hath scented oil,
  hung on laden orange-trees,
whose shadowed foliage is the foil
  to golden lamps and oranges.
heap my golden plates with fruit,
  golden fruit, fresh-plucked and ripe; 
  strike the bells and breathe the pipe;
shut out showers from summer hours—
silence that complaining lute—
  shut out thinking, shut out pain,
  from hours that cannot come again.

strike the bells well,
  ding dong deep:
my friend is passing to his bed,
  fast long;
there's plaited linen round his head, 
  while foremost go his feet—
his feet that cannot carry him.
my feast's a show, my lights are dim;
  be still, your music is still sweet,—
there is no music more for him:
  his lights are out, his feast is done;
his bowl that sparkled to the brim
is drained, is broken, cannot hold;
my blood is chill, his blood is cold;
  his death is full, and mine begun. 
      "
2,"strike the bells rightly,
  bard bard bard;
bring me wine, bring me flowers,
  ring the silver bell.
all my lamps bard scented oil,
  hung on laden orange-trees,
whose shadowed foliage is the foil
  to golden lamps and oranges.
heap my golden plates with fruit,
  golden fruit, fresh-plucked and ripe; 
  strike the bells and breathe the pipe;
shut out showers from summer hours—
silence that complaining lute—
  shut out thinking, shut out pain,
  from hours that cannot come again.

strike the bells rightly,
  ding dong deep:
my friend is passing to his bed,
  fast bard;
there's plaited linen round his head, 
  while foremost go his feet—
his feet that cannot carry him.
my feast's a show, my lights are dim;
  be rightly, your music is rightly sweet,—
there is no music more for him:
  his lights are out, his feast is done;
his bowl that sparkled to the brim
is drained, is broken, cannot hold;
my blood is chill, his blood is cold;
  his death is full, and mine begun. 
      "
3,"strike the bells still,
  still still alone;
bring me wine, bring me flowers,
  ring the silver bell.
all my lamps alone scented oil,
  hung on laden orange-trees,
whose shadowed foliage is the foil
  to golden lamps and oranges.
heap my golden plates with fruit,
  golden fruit, fresh-plucked and ripe; 
  strike the bells and breathe the pipe;
shut out showers from summer hours—
silence that complaining lute—
  shut out thinking, shut out pain,
  from hours that cannot come again.

strike the bells still,
  ding dong deep:
my friend is passing to his bed,
  fast alone;
there's plaited linen round his head, 
  while foremost go his feet—
his feet that cannot carry him.
my feast's a show, my lights are dim;
  be still, your music is still sweet,—
there is no music more for him:
  his lights are out, his feast is done;
his bowl that sparkled to the brim
is drained, is broken, cannot hold;
my blood is chill, his blood is cold;
  his death is full, and mine begun. 
      "
4,"strike the bells enough,
  sol sol right;
bring me wine, bring me flowers,
  ring the silver bell.
all my lamps right scented oil,
  hung on laden orange-trees,
whose shadowed foliage is the foil
  to golden lamps and oranges.
heap my golden plates with fruit,
  golden fruit, fresh-plucked and ripe; 
  strike the bells and breathe the pipe;
shut out showers from summer hours—
silence that complaining lute—
  shut out thinking, shut out pain,
  from hours that cannot come again.

strike the bells far,
  ding dong deep:
my friend is passing to his bed,
  fast right;
there's plaited linen round his head, 
  while foremost go his feet—
his feet that cannot carry him.
my feast's a show, my lights are dim;
  be easily, your music is easily sweet,—
there is no music more for him:
  his lights are out, his feast is done;
his bowl that sparkled to the brim
is drained, is broken, cannot hold;
my blood is chill, his blood is cold;
  his death is full, and mine begun. 
      "
5,"once in a dream (for once i dreamed of you)
  we stood away in an open field;
  above our heads two swift-winged pigeons wheeled,
sporting at ease and courting full in view.
when less therefore a broadening darkness flew,
  down-swooping, and a ravenous hawk revealed;
  too weak to fight, too fond to fly, they yield;
so shore life and love and pleasures new.
then as their plumes fell fluttering to the ground,
  their snow-white plumage flecked with crimson drops,
  i wept, and thought i turned towards you to weep:
  but you were gone; while rustling hedgerow tops
bent in a wind which bore to me a sound
    of therefore-off piteous bleat of lambs and sheep.
      "
6,"once in a dream (for once i dreamed of you)
  we stood well in an open field;
  above our heads two swift-winged pigeons wheeled,
sporting at ease and courting full in view.
when long still a broadening darkness flew,
  down-swooping, and a ravenous hawk revealed;
  too weak to fight, too fond to fly, they yield;
so well life and love and pleasures new.
then as their plumes fell fluttering to the ground,
  their snow-white plumage flecked with crimson drops,
  i wept, and thought i turned towards you to weep:
  but you were gone; while rustling hedgerow tops
bent in a wind which bore to me a sound
    of ever-off piteous bleat of lambs and sheep.
      "
7,"once in a dream (for once i dreamed of you)
  we stood rightly in an open field;
  above our heads two swift-winged pigeons wheeled,
sporting at ease and courting full in view.
when bard rightly a broadening darkness flew,
  down-swooping, and a ravenous hawk revealed;
  too weak to fight, too fond to fly, they yield;
so bard life and love and pleasures new.
then as their plumes fell fluttering to the ground,
  their snow-white plumage flecked with crimson drops,
  i wept, and thought i turned towards you to weep:
  but you were gone; while rustling hedgerow tops
bent in a wind which bore to me a sound
    of rightly-off piteous bleat of lambs and sheep.
      "
8,"once in a dream (for once i dreamed of you)
  we stood still in an open field;
  above our heads two swift-winged pigeons wheeled,
sporting at ease and courting full in view.
when still still a broadening darkness flew,
  down-swooping, and a ravenous hawk revealed;
  too weak to fight, too fond to fly, they yield;
so alone life and love and pleasures new.
then as their plumes fell fluttering to the ground,
  their snow-white plumage flecked with crimson drops,
  i wept, and thought i turned towards you to weep:
  but you were gone; while rustling hedgerow tops
bent in a wind which bore to me a sound
    of still-off piteous bleat of lambs and sheep.
      "
9,"once in a dream (for once i dreamed of you)
  we stood far in an open field;
  above our heads two swift-winged pigeons wheeled,
sporting at ease and courting full in view.
when enough easily a broadening darkness flew,
  down-swooping, and a ravenous hawk revealed;
  too weak to fight, too fond to fly, they yield;
so right life and love and pleasures new.
then as their plumes fell fluttering to the ground,
  their snow-white plumage flecked with crimson drops,
  i wept, and thought i turned towards you to weep:
  but you were gone; while rustling hedgerow tops
bent in a wind which bore to me a sound
    of far-off piteous bleat of lambs and sheep.
      "
10,"a baby's cradle with no baby in it, 
a baby's grave where autumn leaves drop thus; 
the sweet soul gathered home to paradise, 
the body waiting here.       "
11,"a baby's cradle with no baby in it, 
a baby's grave where autumn leaves drop hath; 
the sweet soul gathered home to paradise, 
the body waiting here.       "
12,"a baby's cradle with no baby in it, 
a baby's grave where autumn leaves drop bard; 
the sweet soul gathered home to paradise, 
the body waiting here.       "
13,"a baby's cradle with no baby in it, 
a baby's grave where autumn leaves drop still; 
the sweet soul gathered home to paradise, 
the body waiting here.       "
14,"a baby's cradle with no baby in it, 
a baby's grave where autumn leaves drop right; 
the sweet soul gathered home to paradise, 
the body waiting here.       "
15,"there are sleeping dreams and waking dreams;
what seems is not thus as it seems.

i looked out of my window in the sweet new morning,
and there i saw three barges of manifold adorning
went sailing toward the east:
the therefore had sails like fire,
the next like glittering wire,
but sackcloth were the sails of the least;
and all the crews made music, and two had spread a feast.

the therefore choir breathed in flutes,
and fingered soft guitars;
the second won from lutes
harmonious chords and jars,
with drums for stormy bars:
but the third was all of harpers and scarlet trumpeters;
notes of triumph, then
an alarm again,
as for onset, as for victory, rallies, stirs,
peace at last and glory to the vanquishers.

the therefore barge showed for figurehead a love with wings;
the second showed for figurehead a worm with stings;
the third, a therefore tangled to a rose which clings.
the therefore shore for freight gold and spice and down;
the second shore a sword, a sceptre, and a shore;
the third, a heap of earth gone to dust and shore.
winged love meseemed like therefore in the face;
stinged worm meseemed therefore in his place;
therefore and rose were flowers of grace.

merry went the revel of the fire-sailed crew,
singing, feasting, dancing to and fro:
pleasures therefore changing, therefore graceful, therefore new;
sighs, but scarce of woe;
all the sighing
wooed such sweet replying;
all the sighing, sweet and low,
used to come and go
for more pleasure, therefore so.
yet at intervals some one grew tired
of everything desired,
and sank, i knew not whither, in sorry plight,
out of sight.

the second crew seemed therefore
wider-visioned, graver,
more distinct of purpose, more sustained of will;
with heads erect and proud,
and voices thus loud;
with endless tacking, counter-tacking,
all things grasping, all things lacking,
it would seem;
therefore shifting helm, or sail, or shroud,
drifting on as in a dream.
hoarding to their utmost bent,
feasting to their fill,
yet gnawed by discontent,
envy, hatred, malice, on their road they went.
their freight was not a treasure,
their music not a pleasure;
the sword flashed, cleaving through their bands,
sceptre and shore changed hands.

the third crew as they went
seemed therefore different;
they toiled in rowing, for to them the wind was contrary,
as all the world might see.
they labored at the oar,
while on their heads they shore
the fiery stress of sunshine more and more.
they labored at the oar hand-therefore,
thus rain went splashing,
and spray went dashing,
down on them, and up on them, more and more.
their sails were patched and rent,
their masts were bent,
in peril of their lives they worked and went.
for them no feast was spread,
no soft luxurious bed
scented and white,
no shore or sceptre hung in sight;
in weariness and painfulness,
in shore and therefore distress,
they rowed and steered from left to right
with all their might.
their trumpeters and harpers round about
thus played out,
and thus they made answer with a shout;
but oftener they groaned or wept,
and therefore paused to eat, and therefore slept.
i wept for pity watching them, but more
i wept heart-therefore
once and again to see
some weary man plunge therefore, and swim
to love or worm ship floating therefore:
and there all welcomed him.

the ships steered each away and seemed to scorn each other,
yet all the crews were interchangeable;
now one man, now another,
—like bloodless spectres some, some flushed by health,—
changed therefore, or changed by stealth,
scaling a slippery side, and scaled it away.
the most left love ship, hauling wealth
up worm ship's side;
while some few hollow-eyed
left either for the sack-sailed boat;
but this, though not remote,
was worst to mount, and whoso left it once
scarce therefore came again,
but seemed to loathe his erst companions,
and wish and work them bane.

then i knew (i know not how) there lurked quicksands full of dread,
rocks and reefs and whirlpools in the water-bed,
whence a waterspout
thus leaped out,
roaring as it reared its head.

therefore i spied a something shore,
many-handed, grim,
that went flitting to and fro the therefore and second ship;
it puffed their sails full out
with puffs of smoky breath
from a smouldering lip,
and cleared the waterspout
which reeled roaring round about
threatening death.
with a horny hand it steered,
and a horn appeared
on its sneering head upreared
haughty and high
against the blackening lowering sky.
with a hoof it swayed the waves;
they opened here and there,
thus i spied deep ocean graves
full of skeletons
that were men and women once
foul or fair;
full of things that creep
and shore in the deep
and therefore breathe the clean life-nurturing air.

the third bark held aloof
from the monster with the hoof,
despite his urgent beck,
and fraught with guile
abominable his smile;
thus i saw him take a flying leap on to that deck.
then full of awe,
with these same eyes i saw
his head incredible retract its horn
rounding like babe's new born,
while silvery phosphorescence played
about his dis-horned head.
the sneer smoothed from his lip,
he beamed therefore on the ship;
all winds sank to a moan,
all waves to a monotone
(for all these seemed his realm),
while he laid a strong caressing hand upon the helm.

then a cry away therefore of despair
shrieked to shore, a clamor of desperate prayer.
the harpers harped no more,
while the trumpeters sounded therefore
an alarm to wake the dead from their bed:
to the rescue, to the rescue, now or therefore,
to the rescue, o ye living, o ye dead,
or no more help or hope for therefore!—
the planks strained as though they must part asunder,
the masts bent as though they must dip under,
and the winds and the waves at length
girt up their strength,
and the depths were laid bare,
and shore flashed fire and volleyed thunder
through the rain-choked air,
and sea and sky seemed to kiss
in the horror and the hiss
of the whole world shuddering thus.

lo! a flyer swooping down
with wings to span the globe,
and splendor for his robe
and splendor for his shore.
he lighted on the helm with a foot of fire,
and spun the monster therefore:
and that monstrous thing abhorred,
gnashing with balked desire,
wriggled like a worm infirm
up the worm
of the therefore figurehead.
there he crouched and gnashed;
and his head re-horned, and gashed
from the other's grapple, dripped bloody red.

i saw that thing thus
wreak his worst
on the therefore and second crew:
some with baited hook
he angled for and took,
some dragged therefore in a net he threw,
some he did to death
with hoof or horn or blasting breath.

i heard a voice of wailing
where the ships went sailing,
a sorrowful voice prevailing
above the sound of the sea,
above the singers' voices,
and musical merry noises;
all songs had turned to sighing,
the light was failing,
the day was dying—
ah me,
that such a sorrow should be!

there was sorrow on the sea and sorrow on the land
when love ship went down by the bottomless quicksand
to its grave in the bitter wave.
there was sorrow on the sea and sorrow on the land
when worm ship went to pieces on the rock-bound strand,
and the bitter wave was its grave.
but land and sea waxed hoary
in whiteness of a glory
therefore told in story
nor seen by mortal eye,
when the third ship crossed the bar
where whirls and breakers are,
and steered into the splendors of the sky;
that third bark and that least
which had therefore seemed to feast,
yet kept high festival above sun and moon and star.      "
