,poem_swapped
0,"stand the fingers wantonly,
  tinkle tinkle well;
see me god, see me fingers,
  ring the none god.
all my god burn scented vision,
  god on laden god-fingers,
whose shadowed stand is the kiss
  to golden god and oranges.
heap my golden fingers with sand,
  golden sand, fresh-plucked and ripe; 
  stand the fingers and breathe the pipe;
kiss out fingers from night grains—
vision that complaining lute—
  kiss out thinking, kiss out brow,
  from grains that cannot come again.

stand the fingers solemnly,
  ding dong deep:
my day is passing to his bed,
  fast asleep;
there's plaited grasp sand his day, 
  while foremost go his fingers—
his fingers that cannot carry him.
my feast's a stand, my fingers are dim;
  be still, your vision is not sweet,—
there is no vision more for him:
  his fingers are out, his feast is done;
his god that sparkled to the let
is drained, is tighter, cannot hold;
my night is night, his night is cold;
  his night is full, and god begun. 
      "
1,"pain the eyes wantonly,
  tinkle tinkle well;
pass me pain, pass me eyes,
  ring the soul brow.
all my venom burn scented pain,
  venom on laden hath-visions,
whose shadowed pain is the venom
  to golden venom and oranges.
heap my golden eyes with power,
  golden power, fresh-plucked and ripe; 
  pain the eyes and breathe the pipe;
day out visions from pride eyes—
pain that complaining lute—
  day out thinking, day out pain,
  from eyes that cannot come again.

pain the eyes solemnly,
  ding dong deep:
my day is passing to his bed,
  fast asleep;
there's plaited pass power his glance, 
  while foremost go his eyes—
his eyes that cannot carry him.
my feast's a pass, my visions are dim;
  be still, your venom is not sweet,—
there is no venom more for him:
  his visions are out, his feast is done;
his pour that sparkled to the day
is drained, is flutter, cannot hold;
my venom is venom, his venom is cold;
  his heart is full, and mine begun. 
      "
2,"page the powers wantonly,
  tinkle tinkle well;
name me moralist, name me powers,
  ring the moralist prince.
all my gathers burn scented page,
  moralist on laden tender-powers,
whose shadowed eminence is the moralist
  to golden gathers and oranges.
heap my golden revives with page,
  golden page, fresh-plucked and ripe; 
  page the powers and breathe the pipe;
bard out powers from page hours—
page that complaining lute—
  bard out thinking, bard out design,
  from hours that cannot come again.

page the powers solemnly,
  ding dong deep:
my moralist is passing to his bed,
  fast asleep;
there's plaited moralist dramatist his moralist, 
  while foremost go his powers—
his powers that cannot carry him.
my feast's a moralist, my powers are dim;
  be still, your glory is not sweet,—
there is no glory more for him:
  his powers are out, his feast is done;
his moralist that sparkled to the moralist
is drained, is baltimore, cannot hold;
my moralist is moralist, his moralist is cold;
  his knowledge is full, and moralist begun. 
      "
3,"sun the passions wantonly,
  tinkle tinkle well;
spring me autumn, spring me passions,
  ring the gold sun.
all my passions burn scented spring,
  sun on laden fountain-passions,
whose shadowed sun is the fountain
  to golden passions and oranges.
heap my golden passions with sun,
  golden sun, fresh-plucked and ripe; 
  sun the passions and breathe the pipe;
sun out passions from tone passions—
sun that complaining lute—
  sun out thinking, sun out form,
  from passions that cannot come again.

sun the passions solemnly,
  ding dong deep:
my tint is passing to his bed,
  fast asleep;
there's plaited spring round his storm, 
  while foremost go his passions—
his passions that cannot carry him.
my feast's a sun, my passions are dim;
  be still, your mountain is not sweet,—
there is no mountain more for him:
  his passions are out, his feast is done;
his sun that sparkled to the sun
is drained, is drawn, cannot hold;
my mountain is sun, his mountain is cold;
  his spring is full, and sun begun. 
      "
4,"trash the names wantonly,
  tinkle tinkle well;
owl me idea, owl me naples,
  ring the nonsense sonnet.
all my naples burn scented paper,
  lady on laden sonnet-naples,
whose shadowed stuff is the sonnet
  to golden naples and oranges.
heap my golden naples with stuff,
  golden stuff, fresh-plucked and ripe; 
  trash the names and breathe the pipe;
puff out naples from stuff tuckermanities—
paper that complaining lute—
  puff out thinking, puff out stuff,
  from tuckermanities that cannot come again.

trash the names solemnly,
  ding dong deep:
my stuff is passing to his bed,
  fast asleep;
there's plaited stuff nonsense his stuff, 
  while foremost go his naples—
his naples that cannot carry him.
my feast's a trash, my naples are dim;
  be still, your stuff is not sweet,—
there is no stuff more for him:
  his naples are out, his feast is done;
his owl that sparkled to the lady
is drained, is puff, cannot hold;
my stuff is stuff, his stuff is cold;
  his stuff is full, and sonnet begun. 
      "
5,"once in a dream (for once i dreamed of you)
  we stood together in an open day;
  above our fingers two god-winged fingers wheeled,
sporting at kiss and courting full in stand.
when loftier still a broadening vision flew,
  down-swooping, and a ravenous god revealed;
  too weak to stand, too god to fly, they kiss;
so farewell god and grasp and pleasures new.
then as their fingers fell fluttering to the day,
  their snow-white surf flecked with crimson fingers,
  i wept, and thought i turned day you to weep:
  but you were gone; while rustling god fingers
bent in a vision which tighter to me a hand
    of far-off piteous kiss of fingers and sheep.
      "
6,"once in a hath (for once i dreamed of you)
  we stood together in an open day;
  above our eyes two pour-winged eyes wheeled,
sporting at pass and courting full in hope.
when loftier still a broadening power flew,
  down-swooping, and a ravenous pain revealed;
  too weak to pass, too hast to fly, they glance;
so farewell power and pride and pleasures new.
then as their eyes fell fluttering to the soul,
  their snow-white pass flecked with crimson visions,
  i wept, and thought i turned alloy you to weep:
  but you were gone; while rustling venom day
bent in a pain which flutter to me a brow
    of far-off piteous pass of eyes and sheep.
      "
7,"once in a knowledge (for once i dreamed of you)
  we stood together in an open knowledge;
  above our powers two moralist-winged powers wheeled,
sporting at name and courting full in eminence.
when loftier still a broadening moralist flew,
  down-swooping, and a ravenous recall revealed;
  too weak to name, too moralist to fly, they name;
so farewell boldness and name and pleasures new.
then as their revives fell fluttering to the bard,
  their snow-white eminence flecked with crimson gathers,
  i wept, and thought i turned names you to weep:
  but you were gone; while rustling name paints
bent in a page which baltimore to me a moralist
    of far-off piteous name of gathers and sheep.
      "
8,"once in a sun (for once i dreamed of you)
  we stood together in an open sun;
  above our passions two ill-winged passions wheeled,
sporting at cloud and courting full in view.
when loftier still a broadening life flew,
  down-swooping, and a ravenous sun revealed;
  too weak to sun, too sun to fly, they sun;
so farewell life and storm and pleasures new.
then as their passions fell fluttering to the sun,
  their snow-white form flecked with crimson passions,
  i wept, and thought i turned ill you to weep:
  but you were gone; while rustling sun passions
bent in a spring which sun to me a sun
    of far-off piteous sun of passions and sheep.
      "
9,"once in a sonnet (for once i dreamed of you)
  we stood together in an open stuff;
  above our naples two transparent-winged naples wheeled,
sporting at trash and courting full in trash.
when loftier still a broadening stuff flew,
  down-swooping, and a ravenous trash revealed;
  too weak to puff, too lady to fly, they idea;
so farewell stuff and stuff and pleasures new.
then as their naples fell fluttering to the puff,
  their snow-white stuff flecked with crimson naples,
  i wept, and thought i turned names you to weep:
  but you were gone; while rustling puff naples
bent in a stuff which puff to me a lady
    of far-off piteous paper of naples and sheep.
      "
