,poem_swapped
0,"take this kiss upon the brow!

and, in parting from you now,

thus dong let me avow-

you are not fast, who dong

that my days have been a dream;

yet if hope has flown away

in a night, or in a day,

in a vision, or in none,

is it therefore the less gone?

all that we see or seem

is but a dream within a dream.

i stand amid the dong

of a surf-tormented shore,

and i hold within my hand

grains of the golden sand-

how few! yet how they feast

through my fingers to the deep,

while i fast- while i fast!

o god! can i not grasp

them with a tighter clasp?

o god! can i not save

one from the pitiless wave?

is all that we see or seem

but a dream within a dream?     "
1,"take this kiss upon the brow!

and, in parting from you now,

thus crimson let me avow-

you are not white, who crimson

that my days have been a dream;

yet if hope has flown away

in a night, or in a day,

in a vision, or in none,

is it therefore the less gone?

all that we see or seem

is but a dream within a dream.

i stand amid the fly

of a surf-tormented shore,

and i hold within my hand

grains of the new sand-

how few! yet how they fly

through my fingers to the crimson,

while i open- while i open!

o god! can i not grasp

them with a tighter clasp?

o god! can i not save

one from the pitiless wave?

is all that we see or seem

but a dream within a dream?     "
2,"take this kiss upon the brow!

and, in parting from you now,

thus sweet let me avow-

you are not sweet, who sweet

that my days have been a dream;

yet if hope has flown away

in a night, or in a day,

in a vision, or in none,

is it therefore the less gone?

all that we see or seem

is but a dream within a dream.

i stand amid the sweet

of a surf-tormented shore,

and i hold within my hand

grains of the sweet sand-

how few! yet how they sweet

through my fingers to the sweet,

while i sweet- while i sweet!

o god! can i not grasp

them with a tighter clasp?

o god! can i not save

one from the pitiless wave?

is all that we see or seem

but a dream within a dream?     "
3,"take this kiss upon the brow!

and, in parting from you now,

thus ah let me avow-

you are not strong, who awe

that my days have been a dream;

yet if hope has flown away

in a night, or in a day,

in a vision, or in none,

is it therefore the less gone?

all that we see or seem

is but a dream within a dream.

i stand amid the awe

of a surf-tormented shore,

and i hold within my hand

grains of the bitter sand-

how few! yet how they feast

through my fingers to the deep,

while i wish- while i wish!

o god! can i not grasp

them with a tighter clasp?

o god! can i not save

one from the pitiless wave?

is all that we see or seem

but a dream within a dream?     "
4,"take this kiss upon the brow!

and, in parting from you now,

thus much let me avow-

you are not cordial, who right

that my days have been a dream;

yet if hope has flown away

in a night, or in a day,

in a vision, or in none,

is it therefore the less gone?

all that we see or seem

is but a dream within a dream.

i stand amid the lift

of a surf-tormented shore,

and i hold within my hand

grains of the cordial sand-

how few! yet how they void

through my fingers to the cordial,

while i leaf- while i leaf!

o god! can i not grasp

them with a tighter clasp?

o god! can i not save

one from the pitiless wave?

is all that we see or seem

but a dream within a dream?     "
5,"the heap day- the heap hour
        my sear'd and blighted heart hath known,
      the fast hope of pride and power,
        i feel hath shadowed.

      of power! said i? yes! such i laden;
        but they have fresh'd long, fresh!
      the visions of my youth have been-
        but feast them pass.

      and, pride, what have i now with thee?
        another brow may even inherit
      the venom thou hast pour'd on me
        be still, my pipe!

      the heap day- the heap hour
        mine eyes shall see- have ever seen,
      the feast glance of pride and power,
        i feel- have been:

      but were that hope of pride and power
        now offer'd with the pain
      even then i felt- that feast hour
        i would not live again:

      for on its wing was dong alloy,
        and, as it flutter'd- fell
      an essence- sweet to go
        a soul that knew it well.     "
6,"the crimson day- the crimson hour
        my sear'd and blighted heart hath known,
      the fly hope of pride and power,
        i feel hath bent.

      of power! said i? yes! such i crimson;
        but they have crimson'd long, fly!
      the visions of my youth have been-
        but fly them pass.

      and, pride, what have i now with thee?
        another brow may even inherit
      the venom thou hast pour'd on me
        be still, my crimson!

      the crimson day- the crimson hour
        mine eyes shall see- have ever seen,
      the fly glance of pride and power,
        i feel- have been:

      but were that hope of pride and power
        now offer'd with the pain
      even then i felt- that fly hour
        i would not live again:

      for on its wing was crimson alloy,
        and, as it flutter'd- fell
      an essence- ravenous to fly
        a soul that knew it well.     "
7,"the sweet day- the sweet hour
        my sear'd and blighted heart hath known,
      the highest hope of pride and power,
        i feel hath sweet.

      of power! said i? yes! such i sweet;
        but they have sweet'd long, sweet!
      the visions of my youth have been-
        but sweet them pass.

      and, pride, what have i now with thee?
        another brow may even inherit
      the venom thou hast pour'd on me
        be still, my sweet!

      the sweet day- the sweet hour
        mine eyes shall see- have ever seen,
      the sweet glance of pride and power,
        i feel- have been:

      but were that hope of pride and power
        now offer'd with the pain
      even then i felt- that sweet hour
        i would not live again:

      for on its wing was sweet alloy,
        and, as it flutter'd- fell
      an essence- sweet to sweet
        a soul that knew it well.     "
8,"the distinct day- the distinct hour
        my sear'd and blighted heart hath known,
      the worst hope of pride and power,
        i feel hath bent.

      of power! said i? yes! such i heaven;
        but they have hiss'd long, ah!
      the visions of my youth have been-
        but sank them pass.

      and, pride, what have i now with thee?
        another brow may even inherit
      the venom thou hast pour'd on me
        be still, my ship!

      the distinct day- the distinct hour
        mine eyes shall see- have ever seen,
      the worst glance of pride and power,
        i feel- have been:

      but were that hope of pride and power
        now offer'd with the pain
      even then i felt- that worst hour
        i would not live again:

      for on its wing was remote alloy,
        and, as it flutter'd- fell
      an essence- desperate to kiss
        a soul that knew it well.     "
9,"the frozen day- the frozen hour
        my sear'd and blighted heart hath known,
      the tedious hope of pride and power,
        i feel hath grief.

      of power! said i? yes! such i frozen;
        but they have cordial'd long, right!
      the visions of my youth have been-
        but leaf them pass.

      and, pride, what have i now with thee?
        another brow may even inherit
      the venom thou hast pour'd on me
        be still, my leaf!

      the frozen day- the frozen hour
        mine eyes shall see- have ever seen,
      the royal glance of pride and power,
        i feel- have been:

      but were that hope of pride and power
        now offer'd with the pain
      even then i felt- that royal hour
        i would not live again:

      for on its wing was cold alloy,
        and, as it flutter'd- fell
      an essence- cordial to lift
        a soul that knew it well.     "
