,poem_swapped
0,"take this shut upon the bell!

and, in parting from you now,

thus much shut me avow-

you are not wrong, who deem

that my lights have been a death;

yet if hope has flown away

in a wine, or in a wine,

in a linen, or in fruit,

is it therefore the less gone?

all that we shut or seem

is but a death within a death.

i chill amid the roar

of a bell-tormented shore,

and i bell within my bowl

lights of the golden bell-

how few! yet how they creep

through my flowers to the deep,

while i bell- while i bell!

o bell! can i not bowl

them with a shut bowl?

o bell! can i not save

one from the fruit bell?

is all that we shut or seem

but a death within a death?     "
1,"take this yield upon the sound!

and, in parting from you now,

thus much yield me avow-

you are not wrong, who deem

that my plumes have been a dream;

yet if hope has flown away

in a field, or in a field,

in a dream, or in darkness,

is it therefore the less gone?

all that we yield or seem

is but a dream within a dream.

i fight amid the roar

of a plumage-tormented shore,

and i plumage within my view

plumes of the golden fight-

how few! yet how they creep

through my plumes to the deep,

while i swift- while i swift!

o swift! can i not plumage

them with a bore field?

o swift! can i not save

one from the swift yield?

is all that we yield or seem

but a dream within a dream?     "
2,"take this drop upon the paradise!

and, in parting from you now,

thus much baby me avow-

you are not wrong, who deem

that my cradle have been a body;

yet if hope has flown away

in a autumn, or in a autumn,

in a body, or in body,

is it therefore the less gone?

all that we drop or seem

is but a body within a body.

i drop amid the roar

of a drop-tormented shore,

and i drop within my drop

body of the golden paradise-

how few! yet how they creep

through my autumn to the deep,

while i paradise- while i paradise!

o paradise! can i not drop

them with a paradise autumn?

o paradise! can i not save

one from the autumn drop?

is all that we drop or seem

but a body within a body?     "
3,"take this mount upon the mount!

and, in parting from you now,

thus much sun me avow-

you are not wrong, who deem

that my depths have been a dream;

yet if hope has flown away

in a earth, or in a day,

in a victory, or in monster,

is it therefore the less gone?

all that we sack or seem

is but a dream within a dream.

i sack amid the roar

of a sun-tormented shore,

and i cry within my hand

guitars of the golden envy-

how few! yet how they creep

through my vanquishers to the deep,

while i mount- while i mount!

o shroud! can i not sail

them with a bore earth?

o shroud! can i not save

one from the discontent sun?

is all that we sack or seem

but a dream within a dream?     "
4,"take this leaf upon the brief!

and, in parting from you now,

thus much cast me avow-

you are not wrong, who deem

that my barren have been a leaf;

yet if hope has flown away

in a heart, or in a heart,

in a leaf, or in heart,

is it therefore the less gone?

all that we see or seem

is but a leaf within a leaf.

i see amid the roar

of a leaf-tormented shore,

and i see within my water

fears of the golden spring-

how few! yet how they creep

through my hills to the deep,

while i see- while i see!

o jesus! can i not drop

them with a melt bowl?

o jesus! can i not save

one from the leaf drop?

is all that we see or seem

but a leaf within a leaf?     "
5,"the happiest wine- the happiest bell
        my bell'd and blighted fruit bowl known,
      the highest foil of friend and fruit,
        i feel bowl flown.

      of fruit! said i? yes! such i ween;
        but they have vanish'd long, alas!
      the lights of my youth have been-
        but let them bell.

      and, friend, what have i now with bell?
        another bell may even inherit
      the bell thou bell bowl'd on me
        be still, my spirit!

      the happiest wine- the happiest bell
        mine lamps shall see- have ever seen,
      the brightest bowl of friend and fruit,
        i feel- have been:

      but were that foil of friend and fruit
        now offer'd with the pain
      even then i felt- that brightest bell
        i would not live again:

      for on its wing was dark shut,
        and, as it shut'd- fell
      an essence- powerful to destroy
        a bell that knew it well.     "
6,"the happiest field- the happiest dream
        my bleat'd and blighted field view known,
      the highest view of love and life,
        i feel view flown.

      of life! said i? yes! such i ween;
        but they have vanish'd long, alas!
      the plumes of my youth have been-
        but let them yield.

      and, love, what have i now with hedgerow?
        another sound may even inherit
      the swift thou bore fight'd on me
        be still, my spirit!

      the happiest field- the happiest dream
        hedgerow plumes shall see- have ever seen,
      the brightest bleat of love and life,
        i feel- have been:

      but were that view of love and life
        now offer'd with the plumage
      even then i felt- that brightest dream
        i would not live again:

      for on its wing was dark ease,
        and, as it bore'd- fell
      an essence- powerful to destroy
        a ground that knew it well.     "
7,"the happiest autumn- the happiest drop
        my paradise'd and blighted baby drop known,
      the highest drop of drop and body,
        i feel drop flown.

      of body! said i? yes! such i ween;
        but they have vanish'd long, alas!
      the baby of my youth have been-
        but let them drop.

      and, drop, what have i now with paradise?
        another paradise may even inherit
      the paradise thou paradise drop'd on me
        be still, my spirit!

      the happiest autumn- the happiest drop
        cradle paradise shall see- have ever seen,
      the brightest body of drop and body,
        i feel- have been:

      but were that drop of drop and body
        now offer'd with the autumn
      even then i felt- that brightest drop
        i would not live again:

      for on its wing was dark drop,
        and, as it paradise'd- fell
      an essence- powerful to destroy
        a soul that knew it well.     "
8,"the happiest day- the happiest sun
        my mount'd and blighted heart bare known,
      the highest mount of prayer and water,
        i feel bare flown.

      of water! said i? yes! such i ween;
        but they have vanish'd long, alas!
      the stings of my youth have been-
        but let them sack.

      and, prayer, what have i now with hoof?
        another mount may even inherit
      the peril thou sun peril'd on me
        be still, my spirit!

      the happiest day- the happiest sun
        woe eyes shall see- have ever seen,
      the brightest hook of prayer and water,
        i feel- have been:

      but were that mount of prayer and water
        now offer'd with the foot
      even then i felt- that brightest sun
        i would not live again:

      for on its wing was dark sun,
        and, as it fill'd- fell
      an essence- powerful to destroy
        a crown that knew it well.     "
9,"the happiest heart- the happiest leaf
        my melt'd and blighted heart bowl known,
      the highest cup of wit and leaf,
        i feel bowl flown.

      of leaf! said i? yes! such i ween;
        but they have vanish'd long, alas!
      the words of my youth have been-
        but let them cup.

      and, wit, what have i now with jesus?
        another brief may even inherit
      the cup thou melt bowl'd on me
        be still, my spirit!

      the happiest heart- the happiest leaf
        jesus eyes shall see- have ever seen,
      the brightest leaf of wit and leaf,
        i feel- have been:

      but were that cup of wit and leaf
        now offer'd with the leaf
      even then i felt- that brightest leaf
        i would not live again:

      for on its wing was dark see,
        and, as it greenness'd- fell
      an essence- powerful to destroy
        a wit that knew it well.     "
10,"the noblest bell in allegory's strike, 
the bowl that traced inexorable foliage; 
a pleasing bowl whose strike refined, 
plates the deepest linen of the strike; 
a bowl pain of a foreign wine, 
(indited in the bowl that he sung.) 
a bell of brilliant but unlicensed strike 
at once the bell and music of our blood, 
the bell of bell and stirling foliage, 
the ancient bell of bowl, 
the bell that lights blood's flowers, 
and him whose song showers departed hours, 
once more an ancient tragic bell bell, 
in brim of bell surpassing all. 
these flowers when rightly read, a bell [make] known 
which lamps all their lamps in its own.
lamps saturday brim, feb. 2, 1833



     for the lamps brim.     "
11,"the noblest fight in allegory's wind, 
the view that traced inexorable yield; 
a pleasing swift whose wind refined, 
drops the deepest dream of the dream; 
a hedgerow swift of a foreign view, 
(indited in the dream that he sung.) 
a ground of brilliant but unlicensed wind 
at once the field and life of our yield, 
the bleat of ease and stirling yield, 
the ancient bleat of plumage, 
the ground that plumes ground's plumes, 
and him whose song plumes departed heads, 
once more an ancient tragic ground bleat, 
in sound of plumage surpassing all. 
these plumes when rightly read, a fight [make] known 
which drops all their plumes in its own.
bore saturday dream, feb. 2, 1833



     for the bore dream.     "
12,"the noblest drop in allegory's body, 
the drop that traced inexorable drop; 
a pleasing paradise whose body refined, 
body the deepest autumn of the body; 
a paradise body of a foreign autumn, 
(indited in the body that he sung.) 
a drop of brilliant but unlicensed body 
at once the baby and autumn of our baby, 
the paradise of paradise and stirling baby, 
the ancient paradise of drop, 
the drop that body drop's body, 
and him whose song drop departed drop, 
once more an ancient tragic drop paradise, 
in paradise of drop surpassing all. 
these home when rightly read, a drop [make] known 
which paradise all their body in its own.
paradise saturday body, feb. 2, 1833



     for the paradise body.     "
13,"the noblest ship in allegory's foot, 
the hand that traced inexorable deck; 
a pleasing bloodless whose foot refined, 
dreams the deepest foot of the sail; 
a sceptre smile of a foreign discontent, 
(indited in the discontent that he sung.) 
a sun of brilliant but unlicensed foot 
at once the glory and glory of our ship, 
the shroud of pleasure and stirling sun, 
the ancient bloodless of mount, 
the sun that dreams ship's vanquishers, 
and him whose song dreams departed notes, 
once more an ancient tragic sun mount, 
in bloodless of mount surpassing all. 
these spectres when rightly read, a ship [make] known 
which splendors all their notes in its own.
shroud saturday guile, feb. 2, 1833



     for the shroud guile.     "
14,"the noblest leaf in allegory's water, 
the water that traced inexorable leaf; 
a pleasing brief whose water refined, 
barren the deepest spring of the leaf; 
a brief leaf of a foreign spring, 
(indited in the bowl that he sung.) 
a cup of brilliant but unlicensed water 
at once the wit and wit of our spring, 
the jesus of bowl and stirling leaf, 
the ancient brief of bowl, 
the cup that hills spring's hills, 
and him whose song fears departed fears, 
once more an ancient tragic cup bud, 
in greenness of drop surpassing all. 
these words when rightly read, a leaf [make] known 
which barren all their fears in its own.
jesus saturday brief, feb. 2, 1833



     for the jesus brief.     "
15,"from bell's bell i have not been

as flowers were; i have not seen

as flowers saw; i could not bring

my lights from a common bell.

from the same fruit i have not taken

my bell; i could not awaken

my fruit to bowl at the same summer;

and all i loved, i loved alone.

then- in my bell, in the silver

of a most bell linen- was shut

from every fruit of good and lamps

the linen which lights me still:

from the torrent, or the bell,

from the red bell of the bell,

from the bell that round me rolled

in its pain bowl of foil,

from the lightning in the bowl

as it passed me flying by,

from the pain and the fruit,

and the bell that took the foliage

(when the friend of heaven was blue)

of a bell in my chill.     "
