,poem_swapped
0,"carry this kiss upon the brow!

and, in passing from you now,

thus much let me lamps-

you are not wrong, who deem

that my days have been a dream;

yet if carry has done away

in a night, or in a day,

in a vision, or in none,

is it therefore the less done?

all that we carry or carry

is but a dream within a dream.

i stand amid the roar

of a surf-scented shore,

and i hold within my hand

grains of the golden sand-

how few! yet how they creep

through my fingers to the deep,

while i weep- while i weep!

o god! can i not grasp

them with a tighter clasp?

o god! can i not dim

one from the pitiless wave?

is all that we carry or carry

but a dream within a dream?     "
1,"flew this kiss upon the brow!

and, in rustling from you now,

thus much let me sheep-

you are not wrong, who deem

that my days have been a dream;

yet if weep has gone away

in a night, or in a day,

in a vision, or in none,

is it therefore the less gone?

all that we weep or weep

is but a dream within a dream.

i stand amid the roar

of a surf-wheeled shore,

and i hold within my hand

grains of the golden sand-

how few! yet how they creep

through my fingers to the deep,

while i weep- while i weep!

o god! can i not grasp

them with a tighter clasp?

o god! can i not weep

one from the pitiless wave?

is all that we weep or weep

but a dream within a dream?     "
2,"grave this kiss upon the brow!

and, in waiting from you now,

thus much let me grave-

you are not wrong, who deem

that my days have been a dream;

yet if grave has grave away

in a night, or in a day,

in a vision, or in none,

is it therefore the less gathered?

all that we grave or grave

is but a dream within a dream.

i stand amid the roar

of a surf-gathered shore,

and i hold within my hand

grains of the golden sand-

how few! yet how they creep

through my fingers to the deep,

while i weep- while i weep!

o god! can i not grasp

them with a tighter clasp?

o god! can i not grave

one from the pitiless wave?

is all that we grave or grave

but a dream within a dream?     "
3,"take this kiss upon the brow!

and, in prevailing from you now,

thus much let me lo-

you are not wrong, who deem

that my days have been a dream;

yet if hope has bent away

in a night, or in a day,

in a vision, or in none,

is it therefore the less gone?

all that we see or seem

is but a dream within a dream.

i stand amid the roar

of a surf-baited shore,

and i hold within my hand

grains of the golden sand-

how few! yet how they creep

through my fingers to the deep,

while i weep- while i weep!

o god! can i not grasp

them with a tighter clasp?

o god! can i not grave

one from the pitiless wave?

is all that we see or seem

but a dream within a dream?     "
4,"see this kiss upon the brow!

and, in falling from you now,

thus much let me king-

you are not wrong, who deem

that my days have been a dream;

yet if hold has perished away

in a night, or in a day,

in a vision, or in none,

is it therefore the less perished?

all that we see or look

is but a dream within a dream.

i stand amid the roar

of a surf-dwindled shore,

and i hold within my hand

grains of the golden sand-

how few! yet how they creep

through my fingers to the deep,

while i weep- while i weep!

o god! can i not grasp

them with a tighter clasp?

o god! can i not see

one from the pitiless wave?

is all that we see or look

but a dream within a dream?     "
5,"the happiest day- the happiest hour
        my sear'd and scented heart hath begun,
      the highest hope of tinkle and power,
        i carry hath flown.

      of power! drained i? yes! such i ween;
        but they have vanish'd long, alas!
      the visions of my tinkle have been-
        but let them pass.

      and, tinkle, what have i now with thee?
        another brow may even tinkle
      the venom thou hast pour'd on me
        be still, my spirit!

      the happiest day- the happiest hour
        mine eyes shall carry- have ever begun,
      the brightest glance of tinkle and power,
        i carry- have been:

      but were that hope of tinkle and power
        now carry'd with the pain
      even then i scented- that brightest hour
        i would not dim again:

      for on its ring was dark alloy,
        and, as it flutter'd- begun
      an essence- powerful to destroy
        a soul that scented it well.     "
6,"the happiest day- the happiest hour
        my sear'd and flecked heart hath wheeled,
      the highest hope of snow and power,
        i snow hath flown.

      of power! fell i? yes! such i ween;
        but they have vanish'd long, alas!
      the visions of my swooping have been-
        but let them pass.

      and, snow, what have i now with thee?
        another brow may even snow
      the venom thou hast pour'd on me
        be still, my spirit!

      the happiest day- the happiest hour
        mine eyes shall weep- have ever gone,
      the brightest glance of snow and power,
        i snow- have been:

      but were that hope of snow and power
        now weep'd with the pain
      even then i fell- that brightest hour
        i would not flecked again:

      for on its rustling was dark alloy,
        and, as it flutter'd- fell
      an essence- powerful to destroy
        a soul that winged it well.     "
7,"the happiest day- the happiest hour
        my sear'd and gathered heart hath gathered,
      the highest hope of grave and power,
        i grave hath flown.

      of power! gathered i? yes! such i ween;
        but they have vanish'd long, alas!
      the visions of my waiting have been-
        but let them pass.

      and, grave, what have i now with thee?
        another brow may even waiting
      the venom thou hast pour'd on me
        be still, my spirit!

      the happiest day- the happiest hour
        mine eyes shall grave- have ever gathered,
      the brightest glance of grave and power,
        i grave- have been:

      but were that hope of grave and power
        now grave'd with the pain
      even then i gathered- that brightest hour
        i would not grave again:

      for on its waiting was dark alloy,
        and, as it flutter'd- gathered
      an essence- powerful to destroy
        a soul that gathered it well.     "
8,"the happiest day- the happiest hour
        my sear'd and eyed heart hath laid,
      the highest hope of swim and power,
        i swim hath flown.

      of power! sounded i? yes! such i ween;
        but they have vanish'd long, alas!
      the visions of my hatred have been-
        but let them pass.

      and, swim, what have i now with thee?
        another brow may even swim
      the venom thou hast pour'd on me
        be still, my spirit!

      the happiest day- the happiest hour
        mine eyes shall see- have ever seen,
      the brightest glance of swim and power,
        i swim- have been:

      but were that hope of swim and power
        now grace'd with the pain
      even then i baited- that brightest hour
        i would not go again:

      for on its sleeping was dark alloy,
        and, as it flutter'd- baited
      an essence- powerful to destroy
        a soul that knew it well.     "
9,"the happiest day- the happiest hour
        my sear'd and perished heart hath perished,
      the highest hope of king and power,
        i look hath flown.

      of power! dimmed i? yes! such i ween;
        but they have vanish'd long, alas!
      the visions of my king have been-
        but let them pass.

      and, king, what have i now with thee?
        another brow may even king
      the venom thou hast pour'd on me
        be still, my spirit!

      the happiest day- the happiest hour
        mine eyes shall see- have ever perished,
      the brightest glance of king and power,
        i look- have been:

      but were that hope of king and power
        now look'd with the pain
      even then i perished- that brightest hour
        i would not see again:

      for on its king was dark alloy,
        and, as it flutter'd- perished
      an essence- powerful to destroy
        a soul that perished it well.     "
10,"the noblest name in allegory's page, 
the hand that drained inexorable rage; 
a passing moralist whose page scented, 
displays the deepest knowledge of the mind; 
a tender poet of a foreign tongue, 
(indited in the language that he breathe.) 
a bard of brilliant but unlicensed page 
at once the shame and glory of our age, 
the prince of harmony and complaining sense, 
the ancient dramatist of eminence, 
the bard that paints imagination's powers, 
and him whose song revives scented hours, 
once more an ancient tragic bard recall, 
in boldness of design complaining all. 
these names when rightly fruit, a name [carry] begun 
which gathers all their glories in its own.
lamps saturday visiter, feb. 2, 1833



     for the lamps visiter.     "
11,"the noblest name in allegory's page, 
the hand that winged inexorable rage; 
a rustling moralist whose page wheeled, 
displays the deepest knowledge of the mind; 
a tender poet of a foreign tongue, 
(indited in the language that he wheeled.) 
a bard of brilliant but unlicensed page 
at once the shame and glory of our age, 
the prince of harmony and broadening sense, 
the ancient dramatist of eminence, 
the bard that paints imagination's powers, 
and him whose song revives winged hours, 
once more an ancient tragic bard recall, 
in boldness of design sporting all. 
these names when rightly fell, a name [weep] wheeled 
which gathers all their glories in its own.
broadening saturday visiter, feb. 2, 1833



     for the broadening visiter.     "
12,"the noblest name in allegory's page, 
the hand that gathered inexorable rage; 
a waiting moralist whose page gathered, 
displays the deepest knowledge of the mind; 
a tender poet of a foreign tongue, 
(indited in the language that he gathered.) 
a bard of brilliant but unlicensed page 
at once the shame and glory of our age, 
the prince of harmony and waiting sense, 
the ancient dramatist of eminence, 
the bard that paints imagination's powers, 
and him whose song revives gathered hours, 
once more an ancient tragic bard recall, 
in boldness of design waiting all. 
these names when rightly grave, a name [grave] gathered 
which gathers all their glories in its own.
grave saturday visiter, feb. 2, 1833



     for the grave visiter.     "
13,"the noblest name in allegory's page, 
the hand that sounded inexorable rage; 
a replying moralist whose page visioned, 
displays the deepest knowledge of the mind; 
a tender poet of a foreign tongue, 
(indited in the language that he baited.) 
a bard of brilliant but unlicensed page 
at once the shame and glory of our age, 
the prince of harmony and prevailing sense, 
the ancient dramatist of eminence, 
the bard that paints imagination's powers, 
and him whose song revives fingered hours, 
once more an ancient tragic bard recall, 
in boldness of design prevailing all. 
these names when rightly swim, a name [barge] laid 
which gathers all their glories in its own.
strand saturday visiter, feb. 2, 1833



     for the strand visiter.     "
